Patente,Hora,T_viaje,T_viaje_str,Velocidad
NST765,2019-10-03T08:25:52,135,0:02:15,40.0
OSZ794,2019-10-03T08:27:02,196,0:03:16,27.551020408163264
LNJ688,2019-10-03T08:27:14,199,0:03:19,27.1356783919598
AA663HN,2019-10-03T08:27:27,208,0:03:28,25.961538461538463
AB433QR,2019-10-03T08:27:31,210,0:03:30,25.714285714285715
FVS679,2019-10-03T08:27:34,201,0:03:21,26.865671641791046
AB312UG,2019-10-03T08:27:45,141,0:02:21,38.297872340425535
PKY883,2019-10-03T08:27:48,139,0:02:19,38.84892086330935
KJJ953,2019-10-03T08:27:52,152,0:02:32,35.526315789473685
PCB734,2019-10-03T08:27:56,150,0:02:30,36.0
AB902BH,2019-10-03T08:28:52,198,0:03:18,27.272727272727273
LPT584,2019-10-03T08:28:56,198,0:03:18,27.272727272727273
KLP502,2019-10-03T08:28:58,195,0:03:15,27.692307692307693
NIW700,2019-10-03T08:28:59,191,0:03:11,28.272251308900522
IKW567,2019-10-03T08:29:07,196,0:03:16,27.551020408163264
AB033DC,2019-10-03T08:29:27,214,0:03:34,25.233644859813083
PMX100,2019-10-03T08:29:39,224,0:03:44,24.107142857142858
AD168HD,2019-10-03T08:29:47,211,0:03:31,25.592417061611375
AA017ZJ,2019-10-03T08:30:58,210,0:03:30,25.714285714285715
KRW651,2019-10-03T08:31:08,201,0:03:21,26.865671641791046
AC379NU,2019-10-03T08:31:44,223,0:03:43,24.2152466367713
PCU636,2019-10-03T08:33:04,204,0:03:24,26.470588235294116
OGL460,2019-10-03T08:33:22,197,0:03:17,27.411167512690355
AD656DX,2019-10-03T08:33:38,210,0:03:30,25.714285714285715
AB996PA,2019-10-03T08:33:41,212,0:03:32,25.471698113207548
AA579RN,2019-10-03T08:33:52,146,0:02:26,36.986301369863014
AC837PH,2019-10-03T08:33:53,160,0:02:40,33.75
AC310HH,2019-10-03T08:33:56,154,0:02:34,35.064935064935064
AB051ZN,2019-10-03T08:34:51,197,0:03:17,27.411167512690355
LXO094,2019-10-03T08:34:52,271,0:04:31,19.92619926199262
JNY536,2019-10-03T08:34:58,193,0:03:13,27.979274611398964
AC866ZM,2019-10-03T08:35:34,221,0:03:41,24.43438914027149
AC138ZH,2019-10-03T08:35:46,230,0:03:50,23.478260869565215
OVS310,2019-10-03T08:36:57,224,0:03:44,24.107142857142858
